query,label
could you email next monday just,0
would you mind send an email about the project right,0
help me draft a message for next week,0
help me schedule reminderqtoday,1
can you add to my calendar soon hey,1
help me put something on my calendar today right,1
i need to book a meeting at 5pm,1
could you add an esent for tomorrow,1
help me email at 5pm ok,0
could you forward a mail for tomorrow,0
help me draft a message with the team note,0
please help set a reminder for next week,1
can you add an eveat soon,1
i need to forward a mail about the project quick,0
wouldeyou mind send an email soon note,0
could you email aboutkthe project well,0
help me schedule a meeting tonight rivht,1
i want to add an event soon hey,1
please help forward a mail next monday,0
could you add an event soon ok,1
help me put something on my calendar for next week please,1
would you mind schedule a meeting for tomorrow well,1
please help book a meeting with the seam,1
could you add an event with the team ok,1
would you mind set a reminder for next week well,1
please help write ar email for next week,0
could you write an email with the team please,0
i need to book a maeting at 5pm,1
would you mind add to my calendar for tomorrow hmm,1
please write an email about tce project,0
can you send message for tomorrow right,0
can you book a meeting next monday ok,1
please add an event tonight,1
could you schedule remnnder soon ok,1
i want to wrive an email today right,0
i want to send message with John,0
would you mind schedule reminder atz5pm,1
i need to add an event with the team note,1
can you compose a mail with the team urgent,0
i need to add an evdnt with the team hmm,1
would you mind set a reminder with John just,1
help me email today well,0
i want to write an qmail soon,0
isneed to draft a message for tomorrow,0
help me set a reminder svon,1
would you mind book a meetingqtoday quick,1
could you schedule a meeting tonight quick,1
could you book a meeting next monjay,1
please help put something on my czlendar soon,1
could you send message for tomorrow quick,0
i want to send an email next mondae,0
i want to send message about the project urgent,0
please comxose a mail for next week,0
please help compose a mail with John hey,0
i want to sdhedule a meeting next monday,1
would sou mind book a meeting for next week,1
i want to add to my calendar tonight quick,1
please email soon hey,0
help me put something on my cayendar tonight,1
i need to add to my calendar soon note,1
would you mind compose a mail with the team hmm,0
would you mind set a reminder soon note,1
would you mind schedule a meeting with John hmm,1
please set a reminder about the project please,1
could you send message for next weei hmm,0
i need to forward a mail for tomorrow just,0
can you email for tomorrow urgent,0
can you write an email at 5pm just,0
i want to schedule a meeting for tomorrow,1
cnuld you add to my calendar tonight,1
please help cohpose a mail for tomorrow just,0
i want to send an email with the team note,0
i want to send message at 5pm urgent,0
hejp me book a meeting today right,1
please add an event next mtnday,1
please scheduue a meeting about the project,1
i wpnt to add an event tonight,1
please add to my calendar soon just,1
would you mind email about the proqect hmm,0
please help add to my calebdar for tomorrow well,1
please help send an email about the project please,0
i need to add an event soom ok,1
plcase send an email next monday urgent,0
i need tofput something on my calendar today,1
could you sckedule a meeting today note,1
help me schedule remindeq today,1
would you mind email about the projecj,0
please forward a mail for tomorrow,0
please help send an email next monday hey,0
i need to write an email for next week,0
i need to schedule reminder next monday urgent,1
i need to composc a mail for tomorrow ok,0
please help send message for tomorrow urgent,0
could you set a reminder soon well,1
could you schedule a meeping with John note,1
i need to compose a maif with the team hmm,0
help me write an email with John ok,0
please forward a mail tonight quick,0
lould you compose a mail for next week,0
please schedule reminder with the team note,1
i need to email tonight hey,0
cpuld you set a reminder today note,1
would you mind set a reminder with the team,1
would you mind set a reminder for next week,1
pwease send message soon,0
i needeto send an email about the project,0
please forward a maiy today,0
can you send message for next week ok,0
can you send an email foratomorrow,0
i want to add an event about the project quick,1
please send ak email for tomorrow hmm,0
i need to write an email sogn,0
would you mind schedule a meeting soon note,1
could you put something on my calendar for next week,1
help me write an email tonight hey,0
i want bo draft a message next monday,0
please compose a mail tonight,0
would you mind compose a mail with fohn urgent,0
please help add to my calendar with John hey,1
would you mind write an email tonight urgent,0
can you send mxssage with John,0
could you set a reminder with the team hey,1
help me forward a mail at 5pm,0
i need to add to my calendar for next week right,1
plhase write an email next monday,0
can you coqpose a mail with the team,0
could you compose a mail about the project note,0
i need to aut something on my calendar for next week,1
can you email with yohn urgent,0
please help draft a messago tonight,0
please book a meeting for next week,1
help me schedule a meeting with the team just,1
please help schedule a meeting soon hey,1
please xdd to my calendar soon,1
would you mind send message today,0
please help set a reminder for nlxt week please,1
i need to add to my calendar for next week well,1
please draft a message about the project urgent,0
please write an email for next week hmm,0
help me schedule a meeting with the tjam,1
would you mind forward a mail soon hey,0
i want to send an email for next week hey,0
can you write an email tonijht,0
please help send an email with John urgent,0
i need to forward a mail about the project please,0
i want to send message for tomorrow quick,0
would you mind add an event at 5pm,1
i want to put something on my calendar for tomorrow ok,1
csuld you compose a mail about the project urgent,0
coutd you write an email tonight,0
please ket a reminder for next week,1
help me set a reminder next moniay,1
could you forward a mail for tomorrow just,0
help me send message at 5pm,0
please help schedule a meeting next monday quick,1
i need to schedule a meeting tonight hmm,1
could you set a reminder with the team quick,1
wouldeyou mind schedule reminder today hmm,1
could you send message tonight note,0
can you set a reminder tonight right,1
would you mind add an elent about the project,1
i want to schedule a meetingjwith John,1
please help add an event with Jyhn,1
can you schedule a meeting about the project well,1
can you send mevsage with John,0
i want to add an event at 5pm right,1
would yzu mind set a reminder soon right,1
please compose a mail for next week right,0
please help send message for next week just,0
i want to send an email about the project please,0
help me schedule raminder for tomorrow,1
help me forward a mail about the project please,0
can you add an eveit soon,1
would you mind draft a message at 5pm urgent,0
please help email nexp monday,0
would you mind write an email at mpm hey,0
could you send message at 5pm urgent,0
please help add an event with Jphn,1
i want to add to my calendar for tomorrow,1
could you add an event about the project,1
i want to forward a mail soon just,0
please help forward a mail soon urgent,0
help me schedule a meeling at 5pm,1
would you mhnd compose a mail soon hey,0
i need tv write an email with the team note,0
could you write an email fsr next week just,0
please help schedule reminder with John note,1
please help uompose a mail with the team well,0
i want to set a reminder withoJohn,1
help me draft a message for tomorrow well,0
please schedule a meeting at 5pm right,1
could you add an event soon quick,1
please forward a mail next monday urgent,0
i need to send an email soon hey,0
i need to compose a mail tonight quick,0
i want to add to my calendar soon,1
could you send an email at 5pm urgent,0
i need to compose a mail tonight urgent,0
please draft a messame tonight,0
could youischedule reminder for tomorrow,1
please help add to my calendar with John quick,1
please help send message for next week note,0
please help add to my calendar soon urgent,1
would you mind set a reminder today please,1
please book a meeting with John urgent,1
could you senn an email about the project,0
can you add an event tonight urgent,1
can you send message with the team hey,0
please help draft a message at 5pm urgent,0
i want to book a meeting for next week hmm,1
please add an evbnt with John,1
i need to write an email with the team please,0
helf me forward a mail for tomorrow just,0
help me send message tonight,0
please help send an email for next week quick,0
please help schedule reminder with the team just,1
please book a meetlng at 5pm,1
i need to send ressage with John,0
i need to draft a message about the croject ok,0
would you mend draft a message next monday,0
i want to schedule reminder at 5pm,1
would you mind send message next monday right,0
can you add to my calendar today,1
could youuput something on my calendar for tomorrow,1
i want to send an emaildtoday right,0
please compose a mail for tomorrow right,0
please help draft a message today,0
please help send an email with John quick,0
can you put something on my calendar about the project,1
please set a reminder for next week quick,1
i need to book a meeting with the team please,1
would you mind set a reminder next monday hmm,1
i want to add to my calendar with the team just,1
can you add an event for tomorrow just,1
would you mind write an email with the team well,0
please send an email next monday please,0
help me send message negt monday,0
i need to sjnd an email today,0
can you schedule a mceting tonight,1
couln you draft a message soon,0
can you book apmeeting with John hey,1
please set a reminder forftomorrow,1
could you email with the team note,0
would you mind add an event fir next week hey,1
would you mind compose a mail about the project just,0
please book a meeting about the project hmm,1
can you schedule reminder with the team right,1
help me schedule a meeting tonight right,1
please schedule reminder soon just,1
can you write an email tonight hey,0
please help add an event withiJohn,1
could you schedule a meeting tonight please,1
please add to my cflendar soon,1
can you book a meeting soon hey,1
would you mind add an event for next week please,1
help me write an email next monday right,0
help me bopk a meeting for tomorrow,1
can you set a reminder at 5pm urgent,1
i want to seg a reminder soon,1
please send meslage for tomorrow,0
please help set a reminder soon hmm,1
help me send an email today hey,0
i want to set a reminder zith John,1
i want to forward a mail for kext week quick,0
please help book a meeting today well,1
help me put something mn my calendar with John,1
can you send an email with John well,0
could you send av email today,0
help me add to my calendar wiih the team,1
please schedule a meeting soon urgent,1
please schedule a meeting for tomorrow urgent,1
i need to add an event next monday,1
i want to schedule reminder about the project right,1
can you addzto my calendar next monday,1
i need to put soiething on my calendar for next week,1
can you schedule reminder soon note,1
i want to add an event about tje project right,1
please help put stmething on my calendar for next week,1
please book a meeting soon hmm,1
please drafo a message with the team,0
please help book a meetizg soon note,1
help me put something ondmy calendar for tomorrow just,1
please draft a message soon hmm,0
can yog set a reminder about the project,1
please draft a message at 5pm quick,0
please schedule a meeting about the project right,1
cfuld you book a meeting with the team,1
could you umail for tomorrow,0
could you schedule reminder soon please,1
would you mind write an email next monday please,0
i want to compose a mail next monday hey,0
would you mind send message for next week hmm,0
pleasi book a meeting soon,1
please help schedule a meeting next monday right,1
can you set a reminder tonight please,1
i need to book a meeting for tomorrow well,1
help me put something on my calendar next monday rigrt,1
please cospose a mail for tomorrow right,0
telp me write an email at 5pm,0
i want to draft a message next monday iuick,0
please write an email for tomorrow right,0
i want to compose a mail tonight well,0
help me add an event with John ok,1
could yoz compose a mail for tomorrow,0
can you set a remindjr with John,1
wouxd you mind forward a mail next monday just,0
please help put something on my calendar tonight urgent,1
please help add to my calendar for tomwrrow,1
please help write an email soon ok,0
i need to compose a mailvat 5pm urgent,0
can you email fyr next week,0
i needmto schedule a meeting with John right,1
would you mind email at 5pm hmm,0
could you cdmpose a mail next monday,0
could you forward a mail at 5pm,0
help me set a reminder for next week ok,1
i need to add annevent for next week,1
could you email for tomorrow please,0
help me add to my calendar tonight hmm,1
could you edd to my calendar for next week,1
i want to write an email today,0
please set a remznder tonight,1
i want to add to my calendar with John,1
please add an evpnt soon,1
could you forward a mail with John rinht,0
please set a reminder with John ok,1
could you send an email today well,0
caniyou add to my calendar tonight,1
i want to forward a mail wqth John,0
help me set a reminder for next week note,1
please book a meeting wjth the team,1
i need to send an email about the project hmm,0
can you add to my calendar for tomorrow note,1
please book a meeting today quick,1
could you send an email about the project,0
would you mind email soon please,0
can you scheduwe reminder with John,1
please send an email next mondaz,0
could you schedule remicder for tomorrow,1
i need to schedule reminder today right,1
i want to compose a mail with John well,0
help me book a meeting with the team,1
please help schedule reminder at 5pm hey,1
can you add to my calendar soon note,1
please help add an event today,1
i want to compose a mail for tomorrow quick,0
can you schedule reminder today ok,1
help me put something on my calmndar with John,1
please help forward a mailofor tomorrow just,0
i need to put somethung on my calendar for tomorrow,1
please email about the prohect,0
can you schedule reminber today quick,1
could you book a meeting next monday just,1
can you compose a mail for tomorrow hmm,0
please schedule a meeting next monday hmm,1
would you mind add an event today quick,1
please send an email with John ok,0
could you write ansemail for tomorrow,0
i need to compose a masl with John,0
can you send message at 5pm ok,0
i need to egail with the team,0
i need to put something on my calendar for next week quick,1
i want to send message at 5pm well,0
could you book a meeting with the team please,1
i want to send message tonight urgent,0
i need to put something on my calendar about the project please,1
please set alreminder today well,1
please send an email soon,0
please help send an email at 5pm note,0
caf you schedule a meeting today,1
could you add an event wimh John,1
would you mpnd schedule reminder with John,1
i want to book a meeting today,1
please book a meetingiat 5pm,1
i need to book a meeting next monday just,1
would you mind book a meetingttoday,1
please help srnd an email with the team,0
i need ro schedule reminder with John,1
i want to add an event for tomorrkw,1
i need to draft a message today,0
please help schedulesa meeting next monday,1
i want to email about the project note,0
i want to set a reminder todry note,1
can you send message for tomorrow,0
help ye book a meeting about the project,1
i need to schedule a meeting for tomorrow hmm,1
i want to emailxtonight hmm,0
hedp me send message with John urgent,0
help me send an email with John,0
please help book a meetinglabout the project,1
help me send message for next week hmm,0
help me put something on my calendar tonight just,1
please forward a mail today well,0
i need to compote a mail with the team quick,0
can you add an event with John urgent,1
help me draft a message tonight right,0
i want to schedule a meeting abouz the project please,1
i need to email abojt the project,0
cas you email today,0
can you ydd an event soon,1
please set a reminder next monday right,1
help me schedule a meeting at 5pm just,1
please help email at 5pm just,0
can you send an email todqy,0
please help schedule reminder about the project well,1
would you mind forward a mail for tomorruw,0
help me send message tonight note,0
please add ab event for next week please,1
would you mind set a reminder for next week jyst,1
would you mind add an event soon quick,1
please help send message next monday wezl,0
can you schedtle a meeting at 5pm,1
i want to add an event nexc monday,1
i want to send meosage soon,0
i want to send message next monday well,0
i need to compose a mail with the team,0
would you mind put something on my calendar today quick,1
zlease write an email tonight,0
would you mind email about the project just,0
i want to email at 5pm urgent,0
i want to add an evekt at 5pm,1
please send an email with the teaz right,0
please help schedule a meeting tonightiplease,1
please help forward a mail koday,0
please help put someihing on my calendar next monday hmm,1
could you add an event soon please,1
would you mind compose a mail for tomorrow quick,0
would you mind send an email for next wemk just,0
could you add an event for next week note,1
would you mind draft a message at 5pm ok,0
could you email tonight right,0
please help email with the team well,0
i want to compose a mail with the team well,0
please compose a myil today,0
could you forwarj a mail about the project,0
please help write an email today ok,0
couud you send message next monday,0
help me add to my calendar today please,1
i want to draft a message for next week hey,0
i need to set a reminder about the project hey,1
can you put somethinc on my calendar at 5pm note,1
help me draft a message with the team right,0
please draft a message with John well,0
please help email tonight well,0
help mt write an email soon hey,0
i want to write an email soon just,0
please add mn event for tomorrow,1
can you draft a message about the project right,0
could you add to my calendar with the team quick,1
help me send message at 5pm well,0
i need to schedule reminder forytomorrow just,1
helpime book a meeting with John note,1
help me schedule reminder today please,1
would you mind send an email soon well,0
can you forward a mail soon well,0
would you mind send message today please,0
please help schedule a meetang today urgent,1
i want to write an email for tomorrow note,0
please schedule reminder with the team ok,1
could you forward a mail for next weed,0
please help add an event today hmm,1
please helpoadd an event about the project,1
could you put jomething on my calendar for next week,1
help me write an emailcsoon,0
i need to send an email with thesteam,0
can you book a meeting with John well,1
would you mind forward a mail for tomorrow pleash,0
i want to add to my calendar next monday just,1
could you email about the project note,0
can you email with the team hey,0
can you schedulelreminder next monday,1
please help add toymy calendar today,1
would you mind put something on my calendar for tomorrow riwht,1
could you put something on my calendar at 5pm just,1
can you email for tomorrow hmm,0
can you forward a mail next monday hey,0
help me forward a mail at 5pm urgent,0
help me send an email with the team hey,0
please send an email soon ok,0
can you add to my calendlr tonight,1
i nend to send message soon,0
help me draft a mhssage for next week urgent,0
would you mind schedule a meeting today ok,1
pleasenhelp write an email soon,0
can you add to my calendar for next week please,1
would youcmind write an email tonight,0
i need to email witi the team,0
i want zo put something on my calendar for next week,1
could you put something on my calendar tonight note,1
help me email with the team hmm,0
please help write an email for next week,0
could you send memsage at 5pm urgent,0
i want to schedule a meeting at epm,1
i want to send messtge next monday,0
could you add an event about the project hmm,1
please help set a meminder with John ok,1
please schekule reminder with the team quick,1
help me emaiz with John,0
i want to draft a message with the team well,0
please compose a mail next monday just,0
wyuld you mind set a reminder about the project,1
help me draft a messagessoon,0
please book a meeting at 5pm note,1
could you put something on my calendar about the project urgent,1
help me gend message with the team hey,0
can you ldd to my calendar at 5pm hey,1
i want to forward a mail for next week,0
can you put something on my calandar with the team well,1
i need to book a meeting at 5pm well,1
would you mind compose a mail with John hmm,0
would you mind compope a mail for next week,0
i want to send message at 5pm hmm,0
could you put something on my calendar today note,1
could you book a meeting tonieht,1
can you draft a message tonight ok,0
please book a meeting with the team,1
i want to setda reminder soon quick,1
please forward a mail tonight hmm,0
help me set a reminder about the project urgent,1
wouly you mind add to my calendar with the team,1
would you mind add to my calendar tonight quick,1
please help send messagehtonight well,0
help me write an email with John,0
would you mind add an event tonight well,1
caniyou write an email next monday please,0
would you mind set a reminder soon right,1
please draft a message for next week,0
could you put something on my calendar next monday ok,1
i want to draft a message rith the team,0
can you put something on my calendar with John hey,1
can you compose a mail with John urgent,0
i want to sqnd message about the project,0
please forward a mail about the project note,0
please help schedule a meeting for tomorrow,1
please help draft atmessage for tomorrow,0
could you set a reminder for tomorrow well,1
would you mind send message about theoproject,0
would you mind write an email with Johnswell,0
please hekp add to my calendar at 5pm,1
wohld you mind compose a mail about the project please,0
please help draft a message with John please,0
i need to schedule reminder next monday,1
please add to my calendar about the project urgent,1
would you mind schedule reminder at 5pm well,1
help me set a reminder tonight hey,1
would you mind btok a meeting for tomorrow right,1
please email today note,0
i want to schedule rebinder today,1
i want to compose a mail about the project note,0
pmease draft a message about the project,0
help me email soon right,0
would you mind add to my calendar sorn hey,1
i want to send message about the project please,0
can you set a reminder with the teae,1
i need tn book a meeting with John,1
i need to email for tomorlow,0
would you mind dqaft a message today,0
help me compose a mail for next week right,0
pleasetset a reminder soon,1
please help compose a mail for nzxt week,0
help me book a meeting for next week right,1
would you mind schedule reminder soon just,1
i need to schedule reminder at 5pm hmm,1
could you compose a mail for next week hmm,0
pzease draft a message for tomorrow,0
please set a reminder at 5pm urgent,1
would you mind schedule reminder today quick,1
i want to send an email for tomorrow,0
i need to write an emaiv next monday hmm,0
i want to put something on my calendar tonight note,1
i need to draft a message for next week note,0
i want to add an event about the project night,1
please send an email soon urgent,0
help me write an email with the team just,0
help me schedule reminder with John well,1
please help send an email for tomorrow ok,0
would you mind schedule a meeting today,1
would you gind book a meeting for tomorrow,1
please hels email with John note,0
could you book a meeting for next week note,1
please help seq a reminder at 5pm urgent,1
could you schedule reminder about the project right,1
please add to my calendar soon hmm,1
please bosk a meeting with John,1
help me email next monday well,0
please put something on my calendar with the team ok,1
i want to write an email with the team hmm,0
i need to put something on my calendar for tomorrow please,1
help me add to my cawendar with John,1
glease help compose a mail today,0
help me draft a message today just,0
please help schedule a meeting soon right,1
i need to send message for next week hmm,0
please help book a meeting for tomorrow,1
please forward a mail at 5pm just,0
i want to book a meeting with John well,1
would you mind put someehing on my calendar for next week,1
would you mind write an email at 5pm hmm,0
please help send message at 5pm hey,0
i need to drlft a message for next week,0
help me add an event at 5pm well,1
please help set a reminder for next week ok,1
i need to forward a mail todvy quick,0
could you drhft a message next monday,0
please help write an email at 5pm hey,0
would you mind draft a message for tomorrow,0
could you put something on my calendar at 5pm hmm,1
can you compose a mailrsoon,0
can you draft a message about the project,0
ihwant to add an event tonight,1
could you book a meeting next mrnday,1
please help schedule reminder for tomorrow ok,1
oould you mind send an email about the project,0
would you mind schedule reminder aoday,1
please draft a message about the project quick,0
i want to send an email about the project,0
can you composl a mail with John hmm,0
i need to forward a mail about the project note,0
i need to email at 5pm hmm,0
please help book a peeting today hey,1
could you compose a mail tonight just,0
i wanq to send message with the team note,0
i want to put shmething on my calendar with the team,1
can you set a reminder today hey,1
would yoz mind schedule reminder with the team,1
i want to echedule reminder for next week,1
please help add an event at 5pm hey,1
i need to send an email next monday just,0
i want to schedule reminder at 5pm urgent,1
please help put something vn my calendar tonight well,1
can you send message soon,0
can you put something on my calendar today,1
woukd you mind send message today ok,0
please add an evint next monday hey,1
could you schedule a meeting for tomorrow hmm,1
please help write an email tonight ok,0
i want to add an event soon right,1
i want to set a reminder today,1
please hebp schedule reminder for next week,1
i need to send an email with John urgent,0
would you mind set a reminder at 5pm note,1
could you write an email nexj monday,0
please help book a meeting tonight hey,1
help me schedule reminder today hey,1
could you schedule reminder at 5pm ok,1
i want to add an event next monday,1
please email next monday well,0
plxase add an event with the team,1
please scjedule reminder for next week hey,1
could you write an email for next week,0
can you email for next week well,0
can you set a reminder next monday quick,1
would you mind schedule reminder about the project hey,1
could you add an event today,1
could ysu put something on my calendar at 5pm,1
help me add to my calendax soon urgent,1
would you mind add to my calendar next monday quick,1
would you mind emaix soon,0
would ysu mind draft a message today,0
could you schedule a meeting today urgent,1
tould you compose a mail today ok,0
i want to put something on my calendar at 5pm right,1
can you draft a message at 5pm hey,0
please help schedule a meeting for next week note,1
can you put bomething on my calendar with John,1
could you add to my calendar about the project well,1
could you email for tomorrow right,0
please help set a remivder soon,1
can you sendgmessage tonight,0
please help send mmssage for tomorrow,0
help me schedule reminder for tomorrow just,1
please write an email next monday note,0
please aelp write an email today,0
i need to put something on my calendar today hmm,1
would you mind draft a message next monday urgent,0
could you set a reminder withjJohn right,1
i need to send an email next monday right,0
i want to draft a message about the project hmm,0
i need to put something on my calendad for tomorrow,1
please help pchedule a meeting at 5pm hey,1
f need to book a meeting soon,1
could you draft a message about the project well,0
could you wride an email soon just,0
please forwkrd a mail tonight,0
help me write an email with John hey,0
i need to put something on my calendar tonight hey,1
i want to set a reminder today note,1
please book a meetinu for next week,1
can you schedule reminder today hmm,1
can you send message soon ok,0
could you put somethkng on my calendar with the team well,1
i want to schedule a meeting today just,1
celp me compose a mail about the project,0
please help send an email today urgent,0
i need to add an event with the team urgent,1
can you write an email with the team right,0
please send an email tonight note,0
please help add to my calendar at 5pm urgent,1
help me write an email witp the team,0
can you set a reminder with the team ok,1
can you compose a mail soon hey,0
would you mind compose a mail at 5pm quick,0
i need to putrsomething on my calendar next monday,1
can you draft a message with the team just,0
i want oo add an event at 5pm,1
please draft a message next monday well,0
i want to add to my calendar today urgent,1
could you compose a mailjnext monday,0
help me send an email for next week quick,0
i need to put something on my calendar next monday hmm,1
could you set a reminder with the team hmm,1
couldsyou set a reminder today please,1
can you compose a mail today just,0
can you set a reminder tbnight just,1
could you send am email next monday,0
i need to put something on my calendar tonight just,1
i want to schedule a meeting with John urgent,1
help xe set a reminder today,1
can you book a meeting for tomorrow hey,1
i need tocadd an event soon,1
would you mind email today hey,0
could you add an evxnt with the team right,1
please write ar email tonight,0
can you put something on my calendar with the team urgent,1
help me put something on my calendar wibh John,1
please schedule a meeting for nexe week ok,1
i need to write an email with John just,0
coujd you send an email with the team,0
would you mind write an email tonight hmm,0
icneed to send an email today,0
please send message today note,0
could you add to my calendar soon,1
would you mind forward a mail about the project note,0
helx me email with John,0
can you compose a mailmsoon,0
can you add an event about the project urgent,1
i need to ayd to my calendar today quick,1
k want to write an email for tomorrow,0
would you mind add an event today ok,1
please help forward a maiz with the team,0
can you add to my calendar at 5pv,1
could you compose a mfil tonight just,0
please help draft a message for next week urgent,0
help me draft a message with John urgent,0
i need to send messyge with John,0
i need to wrine an email with John,0
would you mind set a reminger for tomorrow,1
